Essai	Type	Methode	TailleStructure	Time	Memory
6	LinkedList	Get	50000	0.09	53308	
7	LinkedList	Get	50000	0.11	55096	
8	LinkedList	Get	50000	0.10	54640	
9	LinkedList	Get	50000	0.09	57960	
10	LinkedList	Get	50000	0.09	51700	
1	LinkedList	Get	100000	0.12	54436	
2	LinkedList	Get	100000	0.12	54080	
3	LinkedList	Get	100000	0.13	54300	
4	LinkedList	Get	100000	0.11	54708	
5	LinkedList	Get	100000	0.12	56404	
6	LinkedList	Get	100000	0.14	55588	
7	LinkedList	Get	100000	0.13	56120	
8	LinkedList	Get	100000	0.10	56772	
9	LinkedList	Get	100000	0.12	55988	
10	LinkedList	Get	100000	0.09	54692	
1	LinkedList	Get	250000	0.11	58860	
2	LinkedList	Get	250000	0.12	67660	
3	LinkedList	Get	250000	0.15	64968	
4	LinkedList	Get	250000	0.14	62352	
5	LinkedList	Get	250000	0.14	66936	
6	LinkedList	Get	250000	0.13	65044	
7	LinkedList	Get	250000	0.14	62512	
8	LinkedList	Get	250000	0.12	60816	
9	LinkedList	Get	250000	0.14	63484	
10	LinkedList	Get	250000	0.13	64984	
1	LinkedList	Get	500000	0.16	74616	
2	LinkedList	Get	500000	0.15	77936	
3	LinkedList	Get	500000	0.14	70884	
4	LinkedList	Get	500000	0.13	73124	
5	LinkedList	Get	500000	0.12	72856	
6	LinkedList	Get	500000	0.18	70808	
7	LinkedList	Get	500000	0.14	68448	
8	LinkedList	Get	500000	0.15	70636	
9	LinkedList	Get	500000	0.15	70812	
10	LinkedList	Get	500000	0.16	73332	
1	Vector	Add	1000	0.06	48964	
2	Vector	Add	1000	0.09	49076	
3	Vector	Add	1000	0.08	51072	
4	Vector	Add	1000	0.08	52968	
5	Vector	Add	1000	0.07	56372	
6	Vector	Add	1000	0.09	53748	
7	Vector	Add	1000	0.09	50804	
8	Vector	Add	1000	0.10	51060	
9	Vector	Add	1000	0.07	51088	
10	Vector	Add	1000	0.06	49248	
1	Vector	Add	5000	0.08	51852	
2	Vector	Add	5000	0.09	51048	
3	Vector	Add	5000	0.08	49140	
4	Vector	Add	5000	0.09	52204	
5	Vector	Add	5000	0.09	51304	
6	Vector	Add	5000	0.09	50800	
7	Vector	Add	5000	0.08	49056	
8	Vector	Add	5000	0.08	49092	
9	Vector	Add	5000	0.10	48984	
10	Vector	Add	5000	0.07	53760	
1	Vector	Add	10000	0.08	51368	
2	Vector	Add	10000	0.07	56244	
3	Vector	Add	10000	0.08	53136	
4	Vector	Add	10000	0.10	52180	
5	Vector	Add	10000	0.09	53992	
6	Vector	Add	10000	0.09	49216	
7	Vector	Add	10000	0.07	51204	
8	Vector	Add	10000	0.09	55912	
9	Vector	Add	10000	0.09	53144	
10	Vector	Add	10000	0.09	54256	
1	Vector	Add	50000	0.09	54276	
2	Vector	Add	50000	0.11	51012	
3	Vector	Add	50000	0.11	51312	
4	Vector	Add	50000	0.11	56272	
5	Vector	Add	50000	0.09	51548	
6	Vector	Add	50000	0.10	49200	
7	Vector	Add	50000	0.10	49464	
8	Vector	Add	50000	0.09	51176	
9	Vector	Add	50000	0.11	54292	
10	Vector	Add	50000	0.11	53448	
1	Vector	Add	100000	0.11	57312	
2	Vector	Add	100000	0.10	55708	
3	Vector	Add	100000	0.11	58396	
4	Vector	Add	100000	0.09	58440	
5	Vector	Add	100000	0.12	55772	
6	Vector	Add	100000	0.11	59520	
7	Vector	Add	100000	0.12	51408	
8	Vector	Add	100000	0.11	53620	
9	Vector	Add	100000	0.12	53128	
10	Vector	Add	100000	0.10	55528	
1	Vector	Add	250000	0.13	60788	
2	Vector	Add	250000	0.12	57944	
3	Vector	Add	250000	0.12	55912	
4	Vector	Add	250000	0.11	59904	
5	Vector	Add	250000	0.14	55796	
6	Vector	Add	250000	0.13	59880	
7	Vector	Add	250000	0.13	58644	
8	Vector	Add	250000	0.13	57900	
9	Vector	Add	250000	0.12	59748	
10	Vector	Add	250000	0.14	61568	
1	Vector	Add	500000	0.15	64244	
2	Vector	Add	500000	0.13	67104	
3	Vector	Add	500000	0.15	69008	
4	Vector	Add	500000	0.16	62072	
5	Vector	Add	500000	0.16	64052	
6	Vector	Add	500000	0.14	62028	
7	Vector	Add	500000	0.14	67188	
8	Vector	Add	500000	0.16	66136	
9	Vector	Add	500000	0.14	68008	
10	Vector	Add	500000	0.13	68224	
1	Vector	Remove	1000	0.09	48784	
2	Vector	Remove	1000	0.09	53924	
3	Vector	Remove	1000	0.08	48964	
4	Vector	Remove	1000	0.08	53156	
5	Vector	Remove	1000	0.07	53852	
6	Vector	Remove	1000	0.09	50868	
7	Vector	Remove	1000	0.07	56168	
8	Vector	Remove	1000	0.09	52072	
9	Vector	Remove	1000	0.06	54044	
10	Vector	Remove	1000	0.08	50476	
1	Vector	Remove	5000	0.08	50668	
2	Vector	Remove	5000	0.09	51316	
3	Vector	Remove	5000	0.07	54752	
4	Vector	Remove	5000	0.08	53048	
5	Vector	Remove	5000	0.08	53308	
6	Vector	Remove	5000	0.09	51036	
7	Vector	Remove	5000	0.09	53824	
8	Vector	Remove	5000	0.08	54216	
9	Vector	Remove	5000	0.08	51340	
10	Vector	Remove	5000	0.07	54344	
1	Vector	Remove	10000	0.09	52812	
2	Vector	Remove	10000	0.08	48952	
3	Vector	Remove	10000	0.09	54280	
4	Vector	Remove	10000	0.08	48968	
5	Vector	Remove	10000	0.09	53000	
6	Vector	Remove	10000	0.09	51260	
7	Vector	Remove	10000	0.08	51276	
8	Vector	Remove	10000	0.08	53984	
9	Vector	Remove	10000	0.08	49040	
10	Vector	Remove	10000	0.07	50752	
1	Vector	Remove	50000	0.10	55672	
2	Vector	Remove	50000	0.10	49636	
3	Vector	Remove	50000	0.09	51364	
4	Vector	Remove	50000	0.10	51228	
5	Vector	Remove	50000	0.11	51428	
6	Vector	Remove	50000	0.10	51488	
7	Vector	Remove	50000	0.11	56260	
8	Vector	Remove	50000	0.09	49532	
9	Vector	Remove	50000	0.09	55244	
10	Vector	Remove	50000	0.09	53172	
1	Vector	Remove	100000	0.11	51444	
2	Vector	Remove	100000	0.12	51456	
3	Vector	Remove	100000	0.11	55660	
4	Vector	Remove	100000	0.10	53576	
5	Vector	Remove	100000	0.10	51432	
6	Vector	Remove	100000	0.11	57448	
7	Vector	Remove	100000	0.12	58688	
8	Vector	Remove	100000	0.09	51340	
9	Vector	Remove	100000	0.11	53552	
10	Vector	Remove	100000	0.11	53384	
1	Vector	Remove	250000	0.09	62796	
2	Vector	Remove	250000	0.12	60680	
3	Vector	Remove	250000	0.14	57720	
4	Vector	Remove	250000	0.12	59736	
5	Vector	Remove	250000	0.12	57696	
6	Vector	Remove	250000	0.11	59748	
7	Vector	Remove	250000	0.12	58076	
8	Vector	Remove	250000	0.14	60608	
9	Vector	Remove	250000	0.13	58036	
10	Vector	Remove	250000	0.13	57664	
1	Vector	Remove	500000	0.13	64056	
2	Vector	Remove	500000	0.15	66184	
3	Vector	Remove	500000	0.15	66048	
4	Vector	Remove	500000	0.13	64276	
5	Vector	Remove	500000	0.12	64144	
6	Vector	Remove	500000	0.13	67984	
