Essai	Type	Methode	TailleStructure	Time	Memory
3	Vector	Remove	20000000	5.18	619684	
4	Vector	Remove	20000000	5.52	620504	
5	Vector	Remove	20000000	5.21	619780	
6	Vector	Remove	20000000	5.11	615748	
7	Vector	Remove	20000000	5.33	615900	
8	Vector	Remove	20000000	5.49	616832	
9	Vector	Remove	20000000	5.05	617464	
10	Vector	Remove	20000000	5.40	620660	
1	Vector	Get	500000	0.12	64264	
2	Vector	Get	500000	0.11	66112	
3	Vector	Get	500000	0.12	67304	
4	Vector	Get	500000	0.15	66444	
5	Vector	Get	500000	0.13	66076	
6	Vector	Get	500000	0.11	64128	
7	Vector	Get	500000	0.13	68152	
8	Vector	Get	500000	0.13	64260	
9	Vector	Get	500000	0.10	64368	
10	Vector	Get	500000	0.12	64048	
1	Vector	Get	1000000	0.16	80872	
2	Vector	Get	1000000	0.15	82864	
3	Vector	Get	1000000	0.15	78692	
4	Vector	Get	1000000	0.14	82676	
5	Vector	Get	1000000	0.14	87732	
6	Vector	Get	1000000	0.12	82420	
7	Vector	Get	1000000	0.15	82840	
8	Vector	Get	1000000	0.13	83500	
9	Vector	Get	1000000	0.13	84568	
10	Vector	Get	1000000	0.16	87944	
1	Vector	Get	2500000	0.28	117916	
2	Vector	Get	2500000	0.27	118896	
3	Vector	Get	2500000	0.29	115708	
4	Vector	Get	2500000	0.26	117964	
5	Vector	Get	2500000	0.31	117000	
6	Vector	Get	2500000	0.26	112100	
7	Vector	Get	2500000	0.26	115868	
8	Vector	Get	2500000	0.26	113892	
9	Vector	Get	2500000	0.26	119068	
10	Vector	Get	2500000	0.27	120068	
1	Vector	Get	5000000	0.49	173644	
2	Vector	Get	5000000	0.50	173756	
3	Vector	Get	5000000	0.54	176576	
4	Vector	Get	5000000	0.48	173352	
5	Vector	Get	5000000	0.53	171676	
6	Vector	Get	5000000	0.49	175768	
7	Vector	Get	5000000	0.50	171620	
8	Vector	Get	5000000	0.52	171472	
9	Vector	Get	5000000	0.52	175616	
10	Vector	Get	5000000	0.50	178628	
1	Vector	Get	10000000	2.42	342604	
2	Vector	Get	10000000	2.60	347472	
3	Vector	Get	10000000	2.38	345708	
4	Vector	Get	10000000	2.46	345592	
5	Vector	Get	10000000	2.29	342616	
6	Vector	Get	10000000	2.22	344704	
7	Vector	Get	10000000	2.33	345628	
8	Vector	Get	10000000	2.25	342720	
9	Vector	Get	10000000	2.32	346696	
10	Vector	Get	10000000	2.05	342580	
1	Vector	Get	15000000	3.79	528392	
2	Vector	Get	15000000	3.89	529452	
3	Vector	Get	15000000	4.07	523084	
